"route_id","service_id","trip_id","trip_headsign","shape_id"
"31","HOLIDAY","509315","Тракия А12","6645"
"31","HOLIDAY","509316","Тракия А12","6645"
"31","HOLIDAY","509317","Тракия А12","6645"
"31","HOLIDAY","509318","Тракия А12","6645"
"31","HOLIDAY","509319","Тракия А12","6645"
"31","HOLIDAY","509320","Тракия А12","6645"
"31","HOLIDAY","509321","Тракия А12","6645"
"31","HOLIDAY","509322","Тракия А12","6645"
"31","HOLIDAY","509323","Тракия А12","6645"
"31","HOLIDAY","509324","Тракия А12","6645"
"31","HOLIDAY","509325","Тракия А12","6645"
"31","HOLIDAY","509326","Тракия А12","6645"
"31","HOLIDAY","509327","Тракия А12","6645"
"31","HOLIDAY","509328","Тракия А12","6645"
"31","HOLIDAY","509329","Тракия А12","6645"
"31","HOLIDAY","509330","Тракия А12","6645"
"31","HOLIDAY","509331","Тракия А12","6645"
"31","HOLIDAY","509332","Тракия А12","6645"
"31","HOLIDAY","509333","Тракия А12","6645"
"31","HOLIDAY","509334","Тракия А12","6645"
"31","HOLIDAY","509335","Тракия А12","6645"
"31","HOLIDAY","509336","Тракия А12","6645"
"31","HOLIDAY","509337","Тракия А12","6645"
"31","HOLIDAY","509338","Тракия А12","6645"
"31","HOLIDAY","509339","Тракия А12","6645"
"31","HOLIDAY","509340","Тракия А12","6645"
"31","HOLIDAY","509341","Тракия А12","6645"
"31","HOLIDAY","509342","Тракия А12","6645"
"31","HOLIDAY","509343","Тракия А12","6645"
"31","HOLIDAY","509344","Тракия А12","6645"
"31","HOLIDAY","509345","Тракия А12","6645"
"31","HOLIDAY","509346","Тракия А12","6645"
"31","HOLIDAY","509347","Тракия А12","6645"
"31","HOLIDAY","509348","Тракия А12","6645"
"31","HOLIDAY","509349","Тракия А12","6645"
"31","HOLIDAY","509350","Тракия А12","6645"
"31","HOLIDAY","509351","Тракия А12","6645"
"31","HOLIDAY","509352","Тракия А12","6645"
"31","HOLIDAY","509353","Тракия А12","6645"
"31","HOLIDAY","509354","Тракия А12","6645"
"31","HOLIDAY","509355","Тракия А12","6645"
"31","HOLIDAY","509356","Тракия А12","6645"
"31","HOLIDAY","509357","Тракия А12","6645"
"31","HOLIDAY","509358","Тракия А12","6645"
"31","HOLIDAY","509359","Тракия А12","6645"
"31","HOLIDAY","509360","Тракия А12","6645"
