"stop_id","stop_code","stop_name","stop_lat","stop_lon"
"9854","120","пл. Шахбазян",42.15164,24.75485
"9855","121","срещу ОУ Любен Каравелов",42.1528,24.7595
"9856","158","Ритон",42.15245,24.77219
"9857","126","бензиностанция Шел",42.14872,24.78068
"9858","127","Рум Изгрев",42.14982,24.78662
"9859","367","след Пазара",42.15108,24.78915
"9860","128","ул Вратцата (Игрището)",42.15326,24.78958
"9861","159","ул. Вратцата - Паркинга",42.15527,24.79012
"9862","160","срещу училище Д.Дебелянов",42.15738,24.78904
"9863","161","ул. Крайна",42.15963,24.78564
"9864","1008","кв. Изгрев - обръщало ул. Край",42.1594,24.7814
"9865","426","Алати",42.15587,24.714
"9866","97","Практикер",42.15765,24.7289
"9867","355","Ягодовско шосе пред Пътища АД",42.14605,24.80055
"9868","83","бл.201а",42.12732,24.77379
"9869","85","срещу Спортна зала",42.13055,24.76688
"9870","86","Найчо Цанов 1",42.1288,24.76404
"9871","87","Найчо Цанов 2",42.13159,24.76022
"9872","205","Централна гара",42.1349,24.74144
"9873","182","разклона за ЗХА Родина - север",42.16255,24.77027
"9874","183","срещу завод Напредък",42.16068,24.76688
"9875","306","срещу Аптеката",42.13145,24.71347
"9876","184","Пожарната - север",42.15977,24.75948
"9878","197","разклона за Беломорски",42.11335,24.7333
"9879","278","болница Св.Панталеймон",42.1195,24.74745
"9880","277","Братя Бъгстон",42.1253,24.75217
"9881","215","ресторант Тони 2000",42.14298,24.79208
"9882","405","жк Тракия-Алфина",42.13359,24.77885
"9883","70","ресторант Камен град",42.13372,24.77655
"9884","338","срещу Военна болница",42.13618,24.75735
"9885","302","район Запад - кметството",42.13078,24.70882
"9886","303","ОМГ",42.12895,24.7059
"9887","351","бл. 199",42.1284,24.77765
"9888","418","Профилинк",42.11845,24.77724
"9889","46","тунела Юг - изток",42.14485,24.7516
"9890","340","Печатницата - запад",42.1251,24.78645
"9891","341","фирма Мотобойс север",42.12262,24.78255
"9892","419","Профилинк -запад",42.11833,24.77722
"9893","1032","Колелото на Цар Симеон",42.12722,24.78638
"9894","71","пред Черупките",42.1628,24.74226
"9895","58","ресторант Джоана",42.16222,24.73816
"9896","401","бул. В.Априлов",42.15628,24.73116
"9897","369","бул. Македония",42.12991,24.74393
"9898","59","кръстовище с ул. Георги Кондолов",42.1264,24.74199
"9899","417","ул. Коматевско шосе 113",42.10525,24.70508
"9900","443","срещу ресторант Хитър Петър",42.15971,24.73027
"9901","424","магазин Бриколаж 2",42.15294,24.7701
"9902","361","Бензиностанция Шел",42.14798,24.7807
"9903","403","жк Тракия срещу бл. 225",42.12505,24.7799
"9904","134","хотел Кендрос",42.14919,24.77508
"9905","135","Траурен парк Централен",42.14828,24.76973
"9906","136","Траурев парк Централен - 2",42.14745,24.7654
"9907","250","срещу Папараци",42.14605,24.7589
"9908","264","срещу Антим І",42.14095,24.73662
"9909","207","Панаира 1 - юг",42.15918,24.74983
"9910","211","Разклона за ЗХА Родина - юг",42.1625,24.7705
"9911","212","Преди моста",42.16389,24.77376
"9912","427","срещу Институт по конс.пр-ст",42.1652,24.72435
"9913","1029","кв. Изгрев",42.16071,24.78613
"9914","146","ул. Битоля (север)",42.12375,24.68488
"9915","408","ул. Батак",42.1612,24.78248
"9916","430","ул. Герлово (север)",42.15265,24.78892
